Latitude,Longitude,Date,Location,Temperature
41.501299,-74.620909,20200101,New York,279.4409942626953
41.501299,-74.620909,20200102,New York,281.7075958251953
41.501299,-74.620909,20200103,New York,284.1805877685547
41.501299,-74.620909,20200104,New York,284.1184387207031
41.501299,-74.620909,20200105,New York,283.04759216308594
41.501299,-74.620909,20200106,New York,283.64024353027344
41.501299,-74.620909,20200107,New York,283.3472442626953
41.501299,-74.620909,20200108,New York,283.9027404785156
41.501299,-74.620909,20200109,New York,284.6427001953125
41.501299,-74.620909,20200110,New York,282.78529357910156
41.501299,-74.620909,20200111,New York,281.93177795410156
41.501299,-74.620909,20200112,New York,280.39353942871094
41.501299,-74.620909,20200113,New York,280.48291015625
41.501299,-74.620909,20200114,New York,284.03668212890625
41.501299,-74.620909,20200115,New York,285.78834533691406
41.501299,-74.620909,20200116,New York,284.47666931152344
41.501299,-74.620909,20200117,New York,284.26673889160156
41.501299,-74.620909,20200118,New York,282.38356018066406
41.501299,-74.620909,20200119,New York,279.52174377441406
41.501299,-74.620909,20200120,New York,282.75721740722656
41.501299,-74.620909,20200121,New York,283.0637969970703
41.501299,-74.620909,20200122,New York,283.6393585205078
41.501299,-74.620909,20200123,New York,284.6581573486328
41.501299,-74.620909,20200124,New York,283.0789489746094
41.501299,-74.620909,20200125,New York,284.3294219970703
41.501299,-74.620909,20200126,New York,285.5203857421875
41.501299,-74.620909,20200127,New York,287.4425964355469
41.501299,-74.620909,20200128,New York,287.46142578125
41.501299,-74.620909,20200129,New York,289.2530517578125
41.501299,-74.620909,20200130,New York,289.7569274902344
41.501299,-74.620909,20200131,New York,290.67054748535156
41.501299,-74.620909,20200201,New York,291.5847930908203
41.501299,-74.620909,20200202,New York,292.77606201171875
41.501299,-74.620909,20200203,New York,286.8672180175781
41.501299,-74.620909,20200204,New York,284.7356414794922
41.501299,-74.620909,20200205,New York,286.4339141845703
41.501299,-74.620909,20200206,New York,286.51564025878906
41.501299,-74.620909,20200207,New York,286.51300048828125
41.501299,-74.620909,20200208,New York,287.0726623535156
41.501299,-74.620909,20200209,New York,291.29443359375
41.501299,-74.620909,20200210,New York,287.7087707519531
41.501299,-74.620909,20200211,New York,288.0598907470703
41.501299,-74.620909,20200212,New York,290.1508331298828
41.501299,-74.620909,20200213,New York,290.35728454589844
41.501299,-74.620909,20200214,New York,290.54579162597656
41.501299,-74.620909,20200215,New York,290.48146057128906
41.501299,-74.620909,20200216,New York,288.66648864746094
41.501299,-74.620909,20200217,New York,286.7435302734375
41.501299,-74.620909,20200218,New York,287.50746154785156
41.501299,-74.620909,20200219,New York,289.40185546875
41.501299,-74.620909,20200220,New York,289.64588928222656
41.501299,-74.620909,20200221,New York,291.22801208496094
41.501299,-74.620909,20200222,New York,293.23095703125
41.501299,-74.620909,20200223,New York,294.18153381347656
41.501299,-74.620909,20200224,New York,289.1161346435547
41.501299,-74.620909,20200225,New York,285.77490234375
41.501299,-74.620909,20200226,New York,290.96534729003906
41.501299,-74.620909,20200227,New York,292.58018493652344
