Latitude,Longitude,Date,Location,Temperature
41.501299,-74.620909,19970101,New York,280.07293701171875
41.501299,-74.620909,19970102,New York,279.57708740234375
41.501299,-74.620909,19970103,New York,279.53468322753906
41.501299,-74.620909,19970104,New York,278.14952087402344
41.501299,-74.620909,19970105,New York,277.2119903564453
41.501299,-74.620909,19970106,New York,278.44700622558594
41.501299,-74.620909,19970107,New York,279.6957550048828
41.501299,-74.620909,19970108,New York,282.63572692871094
41.501299,-74.620909,19970109,New York,282.9866943359375
41.501299,-74.620909,19970110,New York,284.81781005859375
41.501299,-74.620909,19970111,New York,284.5494842529297
41.501299,-74.620909,19970112,New York,284.09413146972656
41.501299,-74.620909,19970113,New York,283.9979705810547
41.501299,-74.620909,19970114,New York,283.83795166015625
41.501299,-74.620909,19970115,New York,283.992919921875
41.501299,-74.620909,19970116,New York,282.8343048095703
41.501299,-74.620909,19970117,New York,282.3002166748047
41.501299,-74.620909,19970118,New York,283.88763427734375
41.501299,-74.620909,19970119,New York,285.3349609375
41.501299,-74.620909,19970120,New York,285.95997619628906
41.501299,-74.620909,19970121,New York,287.4649200439453
41.501299,-74.620909,19970122,New York,286.3588562011719
41.501299,-74.620909,19970123,New York,285.8288116455078
41.501299,-74.620909,19970124,New York,285.65623474121094
41.501299,-74.620909,19970125,New York,286.8164367675781
41.501299,-74.620909,19970126,New York,284.90821838378906
41.501299,-74.620909,19970127,New York,282.24090576171875
41.501299,-74.620909,19970128,New York,283.8030090332031
41.501299,-74.620909,19970129,New York,284.5907287597656
41.501299,-74.620909,19970130,New York,286.4642333984375
41.501299,-74.620909,19970131,New York,287.69757080078125
41.501299,-74.620909,19970201,New York,286.75030517578125
41.501299,-74.620909,19970202,New York,284.9295196533203
41.501299,-74.620909,19970203,New York,284.0069580078125
41.501299,-74.620909,19970204,New York,286.51014709472656
41.501299,-74.620909,19970205,New York,286.4427185058594
41.501299,-74.620909,19970206,New York,285.7973327636719
41.501299,-74.620909,19970207,New York,285.01466369628906
41.501299,-74.620909,19970208,New York,285.591796875
41.501299,-74.620909,19970209,New York,286.6780090332031
41.501299,-74.620909,19970210,New York,289.0387878417969
41.501299,-74.620909,19970211,New York,290.2079772949219
41.501299,-74.620909,19970212,New York,288.5374755859375
41.501299,-74.620909,19970213,New York,290.9137420654297
41.501299,-74.620909,19970214,New York,284.4863739013672
41.501299,-74.620909,19970215,New York,288.96697998046875
41.501299,-74.620909,19970216,New York,287.6343994140625
41.501299,-74.620909,19970217,New York,288.4701843261719
41.501299,-74.620909,19970218,New York,288.9597930908203
41.501299,-74.620909,19970219,New York,289.6571807861328
41.501299,-74.620909,19970220,New York,289.7753601074219
41.501299,-74.620909,19970221,New York,288.9695129394531
41.501299,-74.620909,19970222,New York,287.2057189941406
41.501299,-74.620909,19970223,New York,290.8368225097656
41.501299,-74.620909,19970224,New York,292.2311096191406
41.501299,-74.620909,19970225,New York,290.7320861816406
41.501299,-74.620909,19970226,New York,289.37110900878906
41.501299,-74.620909,19970227,New York,292.1212921142578
41.501299,-74.620909,19970228,New York,290.17066955566406
41.501299,-74.620909,19970301,New York,294.8567810058594
41.501299,-74.620909,19970302,New York,293.04103088378906
41.501299,-74.620909,19970303,New York,294.5719451904297
41.501299,-74.620909,19970304,New York,295.4693145751953
41.501299,-74.620909,19970305,New York,294.38734436035156
41.501299,-74.620909,19970306,New York,291.7079772949219
41.501299,-74.620909,19970307,New York,291.1865539550781
41.501299,-74.620909,19970308,New York,292.2361297607422
41.501299,-74.620909,19970309,New York,290.98243713378906
41.501299,-74.620909,19970310,New York,294.5017547607422
41.501299,-74.620909,19970311,New York,291.5154266357422
41.501299,-74.620909,19970312,New York,295.8028259277344
41.501299,-74.620909,19970313,New York,294.0556945800781
41.501299,-74.620909,19970314,New York,293.76744079589844
41.501299,-74.620909,19970315,New York,294.8888854980469
41.501299,-74.620909,19970316,New York,298.21302795410156
41.501299,-74.620909,19970317,New York,299.0439453125
41.501299,-74.620909,19970318,New York,290.8826446533203
41.501299,-74.620909,19970319,New York,292.32728576660156
41.501299,-74.620909,19970320,New York,294.29974365234375
41.501299,-74.620909,19970321,New York,292.32298278808594
41.501299,-74.620909,19970322,New York,293.7777557373047
41.501299,-74.620909,19970323,New York,292.68243408203125
41.501299,-74.620909,19970324,New York,289.8483581542969
41.501299,-74.620909,19970325,New York,291.44834899902344
41.501299,-74.620909,19970326,New York,293.78123474121094
41.501299,-74.620909,19970327,New York,297.25640869140625
41.501299,-74.620909,19970328,New York,294.0599365234375
41.501299,-74.620909,19970329,New York,293.257568359375
41.501299,-74.620909,19970330,New York,291.5842590332031
41.501299,-74.620909,19970331,New York,293.9599609375
41.501299,-74.620909,19970401,New York,295.6331481933594
41.501299,-74.620909,19970402,New York,296.989990234375
41.501299,-74.620909,19970403,New York,295.1779479980469
41.501299,-74.620909,19970404,New York,295.1641387939453
41.501299,-74.620909,19970405,New York,298.13609313964844
41.501299,-74.620909,19970406,New York,291.2388610839844
41.501299,-74.620909,19970407,New York,289.92140197753906
41.501299,-74.620909,19970408,New York,290.0189514160156
41.501299,-74.620909,19970409,New York,293.171142578125
41.501299,-74.620909,19970410,New York,297.05821228027344
41.501299,-74.620909,19970411,New York,298.5963439941406
41.501299,-74.620909,19970412,New York,296.3117218017578
41.501299,-74.620909,19970413,New York,296.74864196777344
41.501299,-74.620909,19970414,New York,298.6260528564453
41.501299,-74.620909,19970415,New York,299.18035888671875
41.501299,-74.620909,19970416,New York,290.5942687988281
41.501299,-74.620909,19970417,New York,286.4908905029297
41.501299,-74.620909,19970418,New York,287.4093475341797
41.501299,-74.620909,19970419,New York,286.6083526611328
41.501299,-74.620909,19970420,New York,291.36553955078125
41.501299,-74.620909,19970421,New York,291.38938903808594
41.501299,-74.620909,19970422,New York,290.8826141357422
41.501299,-74.620909,19970423,New York,294.6310577392578
41.501299,-74.620909,19970424,New York,294.89251708984375
41.501299,-74.620909,19970425,New York,296.1878967285156
41.501299,-74.620909,19970426,New York,294.10816955566406
41.501299,-74.620909,19970427,New York,295.8756561279297
41.501299,-74.620909,19970428,New York,295.17430114746094
41.501299,-74.620909,19970429,New York,296.65321350097656
41.501299,-74.620909,19970430,New York,298.78619384765625
41.501299,-74.620909,19970501,New York,296.2721862792969
41.501299,-74.620909,19970502,New York,300.36041259765625
41.501299,-74.620909,19970503,New York,301.688720703125
41.501299,-74.620909,19970504,New York,297.93841552734375
41.501299,-74.620909,19970505,New York,289.3648376464844
41.501299,-74.620909,19970506,New York,285.6309356689453
41.501299,-74.620909,19970507,New York,290.29754638671875
41.501299,-74.620909,19970508,New York,294.22113037109375
41.501299,-74.620909,19970509,New York,293.5495910644531
41.501299,-74.620909,19970510,New York,293.4586944580078
41.501299,-74.620909,19970511,New York,294.1057434082031
41.501299,-74.620909,19970512,New York,296.69293212890625
41.501299,-74.620909,19970513,New York,293.9380645751953
